term,category,hot_technology
Drone image capturing,Graphics or photo imaging software,FALSE
Dropbox,Cloud-based data access and sharing software,FALSE
Drug coding,Categorization or classification software,FALSE
Drug compatibility,Data base user interface and query software,FALSE
Drug database,Medical software,FALSE
Drug guide,Information retrieval or search software,FALSE
Drug reference,Information retrieval or search software,FALSE
Drupal,Web platform development software,FALSE
DuPont ColorNet,Data base user interface and query software,FALSE
DuPont Spies Hecker Wizard,Data base user interface and query software,FALSE
Dun and Bradstreet Global DecisionMaker,Financial analysis software,FALSE
Duxbury Braille Translator,Optical character reader OCR or scanning software,FALSE
DxCG RiskSmart,Analytical or scientific software,FALSE
Dyadem FMEA Pro-6,Analytical or scientific software,FALSE
Dydacomp Mail Order Manager,Materials requirements planning logistics and supply chain software,FALSE
Dynamic Energy Systems MedAct,Medical software,FALSE
Dynamic Graphics EarthVision,Computer aided design CAD software,FALSE
Dynamic Loanledger,Financial analysis software,FALSE
Dynamic analysis,Program testing software,FALSE
Dynamic host configuration protocol DHCP,Administration software,FALSE
Dynamic hypertext markup language DHTML,Web platform development software,FALSE
Dynamic modeling,Analytical or scientific software,FALSE
Dynamic object-oriented requirements system DOORS,Analytical or scientific software,FALSE
Dynamic positioning DP,Analytical or scientific software,FALSE
Dynatrace,Network monitoring software,FALSE
Dynix Digital Library,Library software,FALSE
E++ pattern language,Object or component oriented development software,FALSE
E-Verify,Data base user interface and query software,FALSE
E-Z BIS Office,Medical software,FALSE
E-Z Data SmartOffice,Customer relationship management CRM software,FALSE
EBS On Line InstaPay,Time accounting software,FALSE
EBSCO Information Services Academic Search Premier,Library software,FALSE
EBSCO Information Services Library Literature and Information Science Index,Library software,FALSE
"EBSCO Library, Information Science, and Technology Abstracts LISTSA",Library software,FALSE
EBSCO OmniFile FullText Mega,Library software,FALSE
EBSCO Publishing Academic Search Premier,Information retrieval or search software,FALSE
EBSCO Publishing Political Science Complete,Information retrieval or search software,FALSE
ECHIP,Analytical or scientific software,FALSE
ECT International Raceway Multi-Pack,Computer aided design CAD software,FALSE
EDExpress,Data base user interface and query software,FALSE
EDImis Anesthesia Manager,Medical software,FALSE
EEG Portaview,Medical software,FALSE
EEO Made Simple AAPMaker,Human resources software,FALSE
EEO Made Simple AppTrac,Human resources software,FALSE
EFI Hagen OA,Expert system software,FALSE
EGS CALCMENU,Analytical or scientific software,FALSE
EGS FeatureCAM,Computer aided manufacturing CAM software,FALSE
EHS CareRevolution,Medical software,FALSE
EISI NaviPlan,Financial analysis software,FALSE
ELM Resources ELM,Data base user interface and query software,FALSE
ELR Software eLr Extra Language Resources,Medical software,FALSE
EMA TimingDesigner,Computer aided design CAD software,FALSE
EMBOSS,Analytical or scientific software,FALSE
EMC Captiva,Analytical or scientific software,FALSE
EMC Document Sciences xPression,Document management software,FALSE
EMC Documentum,Document management software,FALSE
EMC Ionix Network Configuration Manager,Configuration management software,FALSE
EMC NetWorker,Backup or archival software,FALSE
EMC RSA Archer Business Continuity Management,Enterprise resource planning ERP software,FALSE
EMC Smarts Network Protocol Manager,Network operating system enhancement software,FALSE
EMC Symmetrix DMX,Storage networking software,FALSE
EMD International WindPRO,Analytical or scientific software,FALSE
EMR Experts Pediatric EMR,Medical software,FALSE
EMRlogic Systems ENTERPRISE Visions,Medical software,FALSE
EMT Applications CounselorMax,Data base user interface and query software,FALSE
ENERCALC FastFrame,Computer aided design CAD software,FALSE
ENSEMBL,Analytical or scientific software,FALSE
EPA Storm Water Management Model SWMM,Analytical or scientific software,FALSE
EPCON International CHEMPRO Engineering Suite,Analytical or scientific software,FALSE
EPCON International SYSTEM 7 Process Explorer,Analytical or scientific software,FALSE
EPCON International SiNET,Analytical or scientific software,FALSE
EPIC GIS,Analytical or scientific software,FALSE
EPLAN,Industrial control software,FALSE
ERDAS ER Mapper,Map creation software,FALSE
ERP INDUSTRIOS Material Planning,Materials requirements planning logistics and supply chain software,FALSE
ESA MOSAICS,Analytical or scientific software,FALSE
ESHA Research The Food Processor,Analytical or scientific software,FALSE
ESI Group AutoSEA2,Analytical or scientific software,FALSE
ESI Software ESILAW,Accounting software,FALSE
ESRI ArcCatalog,Geographic information system,FALSE
ESRI ArcEditor,Geographic information system,FALSE
ESRI ArcExplorer,Geographic information system,FALSE
ESRI ArcGIS (analytical or scientific feature),Geographic information system,FALSE
ESRI ArcGIS ArcPy,Analytical or scientific software,FALSE
ESRI ArcGIS Geostatistical Analyst,Geographic information system,FALSE
ESRI ArcGIS Spatial Analyst,Geographic information system,FALSE
ESRI ArcGIS Survey 123,Analytical or scientific software,FALSE
ESRI ArcGIS,Geographic information system,TRUE
ESRI ArcIMS,Geographic information system,FALSE
ESRI ArcInfo,Geographic information system,FALSE
ESRI ArcLogistics,Geographic information system,FALSE
ESRI ArcMap,Geographic information system,FALSE
ESRI ArcPad,Geographic information system,FALSE
ESRI ArcSDE,Geographic information system,FALSE
ESRI ArcToolbox,Geographic information system,FALSE
ESRI ArcView,Geographic information system,FALSE
ESRI ArcView 3D Analyst,Geographic information system,FALSE
ESRI MapObjects,Geographic information system,FALSE
ESRI Maplex,Geographic information system,FALSE
ESRI Personal Geodatabase,Geographic information system,FALSE
ESRI Site Scan for ArcGIS,Map creation software,FALSE
ESRI What if?,Geographic information system,FALSE
ESRI,Geographic information system,FALSE
ESS Compliance Suite,Compliance software,FALSE
ESSA Technologies Path Landscape Model,Analytical or scientific software,FALSE
ESSA TechnologiesTool for Exploratory Landscape Scenario Analyses TELSA,Analytical or scientific software,FALSE
ETA Dynaform,Analytical or scientific software,FALSE
ETAP,Geographic information system,FALSE
EZ 2000,Medical software,FALSE
EZ Forms,Desktop publishing software,FALSE
EZ LCMS,Computer based training software,FALSE
EZ Pipe,Computer aided design CAD software,FALSE
EZ Software Solutions,Point of sale POS software,FALSE
EZ-CAM,Computer aided manufacturing CAM software,FALSE
EZ-Data Client Data,Customer relationship management CRM software,FALSE
EZ-Ranch,Enterprise resource planning ERP software,FALSE
EZ-Zone Optizone Enterprise,Data base user interface and query software,FALSE
EZ-Zone Software Alternative Medical Billing,Billing and invoicing software,FALSE
EZ2Bill Confidant,Billing and invoicing software,FALSE
EZAnalyze,Spreadsheet software,FALSE
EZClaim medical billing,Billing and invoicing software,FALSE
EZFacility Trainer Management,Enterprise resource planning ERP software,FALSE
EZappt,Calendar and scheduling software,FALSE
EZnotes,Medical software,FALSE
Eagle Point LANDCADD,Computer aided design CAD software,FALSE
Eagle Point Site Design,Computer aided design CAD software,FALSE
Ear Works,Medical software,FALSE
Ear measurement,Medical software,FALSE
EarthSoft EQuIS Geology,Data base user interface and query software,FALSE
EarthVision,Analytical or scientific software,FALSE
EarthWorks Downhole Explorer,Analytical or scientific software,FALSE
Earthworks MaxiPit,Analytical or scientific software,FALSE
Easy Dispatch,Mobile location based services software,FALSE
Easy Music Composer Free,Music or sound editing software,FALSE
Easy Solutions Easy Lab,Data base user interface and query software,FALSE
EasyCAD Iris 2D,Computer aided design CAD software,FALSE
EasyCBM,Computer based training software,FALSE
EasyPath Software Pathology Assistant,Medical software,FALSE
EasySolve Software SizePerm,Analytical or scientific software,FALSE
Easypano Tourweaver,Graphics or photo imaging software,FALSE
Eaton Fleet Advisor,Analytical or scientific software,FALSE
Eazy Application Systems QuickEMR,Medical software,FALSE
Ebenefits Solutions Benefits Management,Human resources software,FALSE
Echo sounder,Analytical or scientific software,FALSE
Eclipse IDE,Development environment software,TRUE
Eclipse Jersey,Web platform development software,FALSE
Eclipse Legal Systems Proclaim,Data base user interface and query software,FALSE
EcoLogic ADAM Indoor Air Quality and Analytical Data Management,Data base user interface and query software,FALSE
Ecological risk assessment,Analytical or scientific software,FALSE
Econometric Software LIMDEP,Analytical or scientific software,FALSE
Economic Analysis Group EAG CaseTrack,Data base user interface and query software,FALSE
Economic Input-Output Life Cycle Assessment EIO-LCA,Analytical or scientific software,FALSE
Economic forecasting,Financial analysis software,FALSE
Econport,Analytical or scientific software,FALSE
Ecotech WinAQMS,Compliance software,FALSE
Ecotech WinCollect,Analytical or scientific software,FALSE
Eden Sales Manager,Customer relationship management CRM software,FALSE
Edgewell Trac,Data base user interface and query software,FALSE
Edible,Inventory management software,FALSE
EditCNC,Industrial control software,FALSE
Editor Software Stylewriter,Word processing software,FALSE
Edmodo,Desktop communications software,FALSE
Edpuzzle,Multi-media educational software,FALSE
Education planning,Financial analysis software,FALSE
Educational,Computer based training software,FALSE
Edulastic,Computer based training software,FALSE
Eedo Knowledgeware Eedo Force Ten,Computer based training software,FALSE
EffTec EffTrack,Analytical or scientific software,FALSE
Effexoft EASI,Enterprise resource planning ERP software,FALSE
Egress Allsafe,Analytical or scientific software,FALSE
Egress EVACS,Analytical or scientific software,FALSE
Eiffel,Object or component oriented development software,FALSE
Eklin Information Systems VIA,Medical software,FALSE
Ekotrope RATER,Analytical or scientific software,FALSE
Elasticsearch,Data base management system software,TRUE
EleSoft Research,Analytical or scientific software,FALSE
ElearningForce JoomlaLMS,Computer based training software,FALSE
Electric Quilt Quilt Design Wizard,Computer aided design CAD software,FALSE
Electric Rain Swift 3D,Analytical or scientific software,FALSE
Electric Rain Swift 3D Xpress,Graphics or photo imaging software,FALSE
ElectricCloud ElectricCommander,Development environment software,FALSE
Electrical power management,Industrial control software,FALSE
Electro Meridian Imaging EMI,Medical software,FALSE
Electroconvulsive therapy equipment,Medical software,FALSE
Electromagnetic analysis,Analytical or scientific software,FALSE
Electromechanical testing analysis,Analytical or scientific software,FALSE
Electromyograph analysis,Medical software,FALSE
Electronic Data Interchange EDI,Enterprise application integration software,FALSE
Electronic Medical Records and Electronic Health Records Software IMS for Allergists,Medical software,FALSE
Electronic Online Systems International EOS.Web,Library software,FALSE
Electronic Systems of Wisconsin Motor Test,Analytical or scientific software,FALSE
Electronic Time Clock ETC,Time accounting software,FALSE
Electronic ToolKit for Tax Preparers,Tax preparation software,FALSE
Electronic Transcript Software ProTEXT,Word processing software,FALSE
Electronic adjudication management systems EAM,Data base user interface and query software,FALSE
Electronic aircraft information databases,Data base user interface and query software,FALSE
Electronic breadboard,Computer aided design CAD software,FALSE
Electronic calendar management,Calendar and scheduling software,FALSE
Electronic common technical document eCTD,Document management software,FALSE
Electronic common technical document eCTD validating,Document management software,FALSE
Electronic common technical document eCTD viewing,Document management software,FALSE
Electronic data capture EDC,Analytical or scientific software,FALSE
Electronic design automation EDA,Computer aided design CAD software,FALSE
Electronic diary,Word processing software,FALSE
Electronic dictionaries,Dictionary software,FALSE
Electronic discovery,Analytical or scientific software,FALSE
Electronic document management system EDMS,Document management software,FALSE
Electronic engineering calculator,Analytical or scientific software,FALSE
Electronic filing,Filesystem software,FALSE
Electronic health record EHR,Medical software,FALSE
Electronic lab notebook,Analytical or scientific software,FALSE
Electronic medical administration record eMAR,Medical software,FALSE
Electronic medical record EMR,Medical software,FALSE
Electronic tracking device,Map creation software,FALSE
Electronic train management,Data base user interface and query software,FALSE
Electronic train management systems ETMS,Expert system software,FALSE
Electronic transcription management,Document management software,FALSE
Electronics for Imaging EFI Monarch,Enterprise resource planning ERP software,FALSE
Electronics for Imaging EFI Pace,Enterprise resource planning ERP software,FALSE
Electrosoft FlashWorks,Analytical or scientific software,FALSE
Elekta Impac Software IntelliLab,Medical software,FALSE
Elekta Impac Software PowerPath,Medical software,FALSE
Elekta METRIQ,Data base user interface and query software,FALSE
Element Software Copper,Project management software,FALSE
Element management,Administration software,FALSE
Elevator Controls INTERACT,Analytical or scientific software,FALSE
Elevator evacuation ELVAC,Analytical or scientific software,FALSE
Elite Minds RightWriter,Word processing software,FALSE
Elite Software DPIPE,Analytical or scientific software,FALSE
Elite Software E-Coord,Analytical or scientific software,FALSE
Elite Software Elite Salon & Spa Management,Data base user interface and query software,FALSE
Elite Software Elite Salon & Spa Payroll,Human resources software,FALSE
Elite Software Energy Audit,Analytical or scientific software,FALSE
Elite Software FIRE,Analytical or scientific software,FALSE
Elite Software HSYM,Analytical or scientific software,FALSE
Elite Software Inpoint,Analytical or scientific software,FALSE
Elite Software Outpoint,Analytical or scientific software,FALSE
Elite Software Plumbing CAD,Computer aided design CAD software,FALSE
Elite Software Short,Analytical or scientific software,FALSE
Elite Software Spipe,Analytical or scientific software,FALSE
Elite Software Sprinkler CAD,Computer aided design CAD software,FALSE
Elite Software VDROP,Analytical or scientific software,FALSE
Ellie Mae Contour,Financial analysis software,FALSE
Ellie Mae Genesis,Financial analysis software,FALSE
Ellucian Banner ERP,Enterprise resource planning ERP software,FALSE
Ellucian Banner Human Resources,Human resources software,FALSE
Ellucian Colleague,Enterprise resource planning ERP software,FALSE
Ellucian Degree Works,Project management software,FALSE
Eloquent Systems Eloquent,Project management software,FALSE
Elsevier MDL ISIS/Draw,Graphics or photo imaging software,FALSE
Elsevier ScienceDirect,Library software,FALSE
Elucidat,Graphics or photo imaging software,FALSE
Email management,Communications server software,FALSE
Embarcadero Delphi,Object or component oriented development software,FALSE
Embarcadero ER/Studio XE,Metadata management software,FALSE
Embarcadero JBuilder,Development environment software,FALSE
Embarcadero Technologies DBArtisan,Data base management system software,FALSE
Embedded systems development,Development environment software,FALSE
Embedded systems testing,Analytical or scientific software,FALSE
Embroidery design,Computer aided design CAD software,FALSE
Emdeon HealthPro,Medical software,FALSE
Emerald Data Deed-Chek,Map creation software,FALSE
Emerald Insight Emerald Management Xtra,Library software,FALSE
Emerald Software Group Emerald Green Office,Content workflow software,FALSE
Emergency Managers Weather Information Network EMWIN,Data base user interface and query software,FALSE
Emergency Services Integrators ESi WebEOC,Project management software,FALSE
Emergency notification,Communications server software,FALSE
Emerging Technologies Office Center,Enterprise resource planning ERP software,FALSE
Emerson FIRSTVUE Value Sizing,Analytical or scientific software,FALSE
Emerson Ovation,Industrial control software,FALSE
Emissions tracking,Compliance software,FALSE
Emmaus MPWord,Word processing software,FALSE
Empirisoft DirectRT,Analytical or scientific software,FALSE
Empirisoft MediaLab,Analytical or scientific software,FALSE
Employee performance management,Human resources software,FALSE
Employee scheduling,Calendar and scheduling software,FALSE
Employee self-service,Human resources software,FALSE
Emulators,Operating system software,FALSE
En route descent advisor EDA,Flight control software,FALSE
Enabl-u Technologies APIS,Project management software,FALSE
Enablez ResortSuite,Customer relationship management CRM software,FALSE
Encite Dermatology Electronic Health Records EHR,Medical software,FALSE
Encoded archival system EAD,Data base user interface and query software,FALSE
Encoder,Transaction security and virus protection software,FALSE
Encompass,Financial analysis software,FALSE
Encompix ERP,Enterprise resource planning ERP software,FALSE
Encryption,Transaction security and virus protection software,FALSE
End of Run Report EOR,Data base user interface and query software,FALSE
End-to-end encryption,Transaction security and virus protection software,FALSE
Endeavour Agile ALM,Project management software,FALSE
Endicia Internet Postage,Label making software,FALSE
EndoSoft,Data base user interface and query software,FALSE
Enercom Energy Depot for Business,Analytical or scientific software,FALSE
Enercom Energy Depot for Homes,Analytical or scientific software,FALSE
Energy Efficient Rehab Advisor,Analytical or scientific software,FALSE
Energy analysis,Analytical or scientific software,FALSE
Energy auditing,Analytical or scientific software,FALSE
Energy cost evaluation,Analytical or scientific software,FALSE
Energy expenditure prediction EEP,Analytical or scientific software,FALSE
Energy management system EMS,Industrial control software,FALSE
Energy use ratings databases,Data base user interface and query software,FALSE
Energy-10,Analytical or scientific software,FALSE
EnergyPlus,Analytical or scientific software,FALSE
EnergySoft EnergyPro,Analytical or scientific software,FALSE
Enertia,Inventory management software,FALSE
Enfocus PitStop Pro,Desktop publishing software,FALSE
Enforcement Case Tracking System ENFORCE,Data base user interface and query software,FALSE
Enggist & Grandjean EGS F&B Control,Materials requirements planning logistics and supply chain software,FALSE
Engine analysis,Analytical or scientific software,FALSE
Engine diagnostic scanners,Analytical or scientific software,FALSE
Engine diagnostic,Analytical or scientific software,FALSE
Enhanced Interior Gateway Routing Protocol EIGRP,Switch or router software,FALSE
Enigma,Analytical or scientific software,FALSE
Enova eNatro,Medical software,FALSE
Enterprise JavaBeans,Web platform development software,FALSE
Enterprise Logix,Materials requirements planning logistics and supply chain software,FALSE
Enterprise Software Systems CRE Sync,Data base user interface and query software,FALSE
Enterprise Systems RFID Data Management,Optical character reader OCR or scanning software,FALSE
Enterprise application integration EAI,Enterprise application integration software,FALSE
Enterprise backup,Backup or archival software,FALSE
Enterprise content management ECM,Document management software,FALSE
Enterprise report management ERM,Document management software,FALSE
Enterprise resource planning ERP,Enterprise resource planning ERP software,FALSE
Enterprise risk management software ERMS,Risk management data and analysis software,FALSE
Entity Management,Data base user interface and query software,FALSE
EnviroData Solutions,Analytical or scientific software,FALSE
EnviroInsite,Presentation software,FALSE
Environmental Knowledge and Assessment Tool EKAT,Analytical or scientific software,FALSE
Environmental Research Services RAOB,Analytical or scientific software,FALSE
Environmental Software and Services SUTRA,Analytical or scientific software,FALSE
Environmental health and safety documentation,Compliance software,FALSE
Envision Pet Grooming,Data base user interface and query software,FALSE
Envision Salon,Data base user interface and query software,FALSE
EnzymeX,Analytical or scientific software,FALSE
Eos Systems PhotoModeler,Graphics or photo imaging software,FALSE
EpiData Analysis,Analytical or scientific software,FALSE
Epic EpicCare Inpatient Clinical,Medical software,FALSE
Epic HER,Medical software,FALSE
Epic Practice Management,Medical software,FALSE
EpicCare Ambulatory Electronic Medical Records (EMR),Medical software,FALSE
EpicLab Laboratory Information,Medical software,FALSE
Epicenter Software Epilog,Analytical or scientific software,FALSE
Epicor Loss Prevention,Analytical or scientific software,FALSE
Epicor SRM,Materials requirements planning logistics and supply chain software,FALSE
Epicor Vantage ERP,Enterprise resource planning ERP software,FALSE
Epicor Vista ERP,Enterprise resource planning ERP software,FALSE
Epicor WMS,Materials requirements planning logistics and supply chain software,FALSE
Epidemiological,Analytical or scientific software,FALSE
Epinoisis Software Digital Ear,Music or sound editing software,FALSE
Epocrates,Information retrieval or search software,FALSE
Equal employment opportunity EEO compliance,Compliance software,FALSE
Equative TimeLedger,Time accounting software,FALSE
Equifax Advanced Decisioning,Financial analysis software,FALSE
Equifax Application Engine,Content workflow software,FALSE
Equifax InterConnect,Financial analysis software,FALSE
Equifax,Financial analysis software,FALSE
Equipment compliance testing,Compliance software,FALSE
Equipment management information,Data base user interface and query software,FALSE
Equitas EEOStat,Analytical or scientific software,FALSE
Erosion Productivity Impact Calculator EPIC,Analytical or scientific software,FALSE
Esko ArtPro,Desktop publishing software,FALSE
Estate Capitol Needs Analysis,Financial analysis software,FALSE
Estate planning,Financial analysis software,FALSE
Estima RATS,Analytical or scientific software,FALSE
Estima Regression Analysis of Time Series RATS,Analytical or scientific software,FALSE
Estimates Delivery System EDS,Analytical or scientific software,FALSE
Estimating,Project management software,FALSE
EtQ Environmental Health and Safety,Compliance software,FALSE
EtQ FDA cGxP Compliance Software for Life Sciences,Compliance software,FALSE
EtQ Reliance,Compliance software,FALSE
Ethereal,Network monitoring software,FALSE
Ettercap NG,Network monitoring software,FALSE
Etymotic Research QuickSIN,Medical software,FALSE
Europa World Plus,Information retrieval or search software,FALSE
European Soil Erosion Model EUROSEM,Analytical or scientific software,FALSE
European Southern Observatory Munich Image Data Analysis System ESO-MIDAS,Analytical or scientific software,FALSE
Evacuation modeling,Analytical or scientific software,FALSE
Event Management,Project management software,FALSE
Event log monitor,Operating system software,FALSE
Event scheduling,Calendar and scheduling software,FALSE
Event-driven State-machines Programming,Development environment software,FALSE
EventHelix WebTaxi,Mobile location based services software,FALSE
Events Operations,Project management software,FALSE
Ever Team EverSuite Content Management,Document management software,FALSE
Everest Software Advanced,Enterprise resource planning ERP software,FALSE
Evergreen Technology Eagle Bid Estimating,Project management software,FALSE
Evergreen Technology Total Faux,Analytical or scientific software,FALSE
Evernote,Word processing software,FALSE
Evolution Computing EasyCAD,Computer aided design CAD software,FALSE
Evolution Computing FastCAD,Computer aided design CAD software,FALSE
Evron Computer Systems SAGE PFW (Platinum For Windows),Accounting software,FALSE
Ewing Solutions QuickWriter,Word processing software,FALSE
Ex Libris Group Aleph,Data base user interface and query software,FALSE
Ex Libris Group DigiTool,Data base user interface and query software,FALSE
Ex Libris Group Voyager,Library software,FALSE
ExacTax PackageEX,Tax preparation software,FALSE
Exacq Technologies,Video creation and editing software,FALSE
Exact MAX,Enterprise resource planning ERP software,FALSE
Exact Software JobBOSS,Data base user interface and query software,FALSE
Exact Software Macola ERP,Enterprise resource planning ERP software,FALSE
Exact Software Macola ES,Enterprise resource planning ERP software,FALSE
Exact Software Macola ES Labor Performance,Time accounting software,FALSE
Exact business,Human resources software,FALSE
ExamSoft Exam Intelligence,Computer based training software,FALSE
Excavator,Analytical or scientific software,FALSE
ExcelTrans Translator,Foreign language software,FALSE
Execu/Tech Systems HOTEL Premium,Facilities management software,FALSE
Exele TopView,Analytical or scientific software,FALSE
Exercise routine creation,Word processing software,FALSE
Expedite departure path EDP,Flight control software,FALSE
ExpenseWatch,Financial analysis software,FALSE
Experian Credinomics,Financial analysis software,FALSE
Experian Detect,Financial analysis software,FALSE
Experian FraudShield,Financial analysis software,FALSE
Experian Quest,Financial analysis software,FALSE
Experian Retention Triggers,Financial analysis software,FALSE
Experian Strategy Management,Office suite software,FALSE
Experian Transact SM,Content workflow software,FALSE
Experience in Software Project KickStart,Project management software,FALSE
Experience in Software Webplanner,Project management software,FALSE
Experimental Physics and Industrial Control System EPICS,Analytical or scientific software,FALSE
Expert Health Data Programming Vitalnet,Analytical or scientific software,FALSE
Explorer Engineer,Data base user interface and query software,FALSE
Express Business Valuations,Financial analysis software,FALSE
ExpressDigital Labtricity,Graphics or photo imaging software,FALSE
Expression DNA and protein sequence,Analytical or scientific software,FALSE
Ext JS,Web platform development software,FALSE
Extedo DOCvalidator,Document management software,FALSE
Extedo PLmanager,Document management software,FALSE
Extedo eCTDmanager Suite,Document management software,FALSE
Extensible hypertext markup language XHTML,Web platform development software,FALSE
Extensible markup language XML,Enterprise application integration software,TRUE
Extensible stylesheet language XSL,Enterprise application integration software,FALSE
Extensible stylesheet language transformations XSLT,Web platform development software,FALSE
Extensity MPC,Enterprise resource planning ERP software,FALSE
ExtraTech Machine Tools Suite,Computer aided manufacturing CAM software,FALSE
Extranet Machine Tools Suite,Computer aided manufacturing CAM software,FALSE
Eye Tracking Exercises Enterprises Track with Letters,Eye tracking software,FALSE
EyeMD EMR Healthcare Systems EyeMD EMR,Medical software,FALSE
Eyeglass design,Computer aided design CAD software,FALSE
Eyelit Manufacturing,Industrial control software,FALSE
FANUC CNC,Computer aided manufacturing CAM software,FALSE
FANUC Robotics ArcTool,Industrial control software,FALSE
FANUC Robotics Diagnostic Resource Center DRC,Industrial control software,FALSE
FANUC Robotics Dual Check Safety DCS Position and Speed Check,Industrial control software,FALSE
FANUC Robotics HandlingTool,Industrial control software,FALSE
FANUC Robotics MultiARM,Industrial control software,FALSE
FANUC Robotics SpotTool+,Industrial control software,FALSE
FANUC Robotics Through Arc Seam Tracking TAST,Industrial control software,FALSE
FANUC Robotics Torchmate 3,Industrial control software,FALSE
FANUC Robotics iRCalibration Vision Suite,Industrial control software,FALSE
FANUC Robotics iRVision,Industrial control software,FALSE
FARSITE,Analytical or scientific software,FALSE
FAS Loan Service Plus,Financial analysis software,FALSE
FASTA,Analytical or scientific software,FALSE
FASTLINK,Analytical or scientific software,FALSE
FBS Data Systems Flexmls,Data base user interface and query software,FALSE
FCC Software AutoPOL Series,Computer aided design CAD software,FALSE
FEAR,Analytical or scientific software,FALSE
FEAT/Firemon integrated FFI,Analytical or scientific software,FALSE
FEEDLOT CALC,Analytical or scientific software,FALSE
FEMA EMMIE,Data base user interface and query software,FALSE
FFTPACK,Development environment software,FALSE
FFTW,Development environment software,FALSE
FINEOS Insure,Enterprise resource planning ERP software,FALSE
FIRECALC fire zone modeling,Analytical or scientific software,FALSE
FIRST Flooring,Project management software,FALSE
FLIR Thermal Studio Suite,Analytical or scientific software,FALSE
FLorida Object Oriented Design Simulator FLOODS,Analytical or scientific software,FALSE
FLorida Object Oriented Process Simulator FLOOPS,Analytical or scientific software,FALSE
FOLLOW code,Development environment software,FALSE
FPA Software MACCS,Data base user interface and query software,FALSE
FRSGlobal RegPro,Compliance software,FALSE
FRx Software Microsoft FRx,Accounting software,FALSE
FRx Software Microsoft Forecaster,Enterprise resource planning ERP software,FALSE
FSC Business Solutions Department Managers' Toolkit,Human resources software,FALSE
FTI Ringtail Legal,Document management software,FALSE
FURUNO navigational chart,Route navigation software,FALSE
FYI Technologies Dr. Ceph,Graphics or photo imaging software,FALSE
FYI Technologies Dr. View,Graphics or photo imaging software,FALSE
Fabasoft Folio,Document management software,FALSE
FaceTime,Video conferencing software,FALSE
Facebook,Web page creation and editing software,TRUE
Facilities design,Computer aided design CAD software,FALSE
Facilities planning,Computer aided design CAD software,FALSE
Facility Energy Decision Systems FEDS,Analytical or scientific software,FALSE
Facility database,Data base user interface and query software,FALSE
Facility energy management,Facilities management software,FALSE
Facility use,Data base user interface and query software,FALSE
FactSage,Analytical or scientific software,FALSE
Factiva,Information retrieval or search software,FALSE
Factory Edge MRP,Materials requirements planning logistics and supply chain software,FALSE
Fagerman Technologies MedLook,Medical software,FALSE
Failure analysis,Analytical or scientific software,FALSE
Failure assessment,Computer aided design CAD software,FALSE
Failure mode and effects analysis FMEA,Analytical or scientific software,FALSE
Failure mode effects and criticality analysis FMECA,Analytical or scientific software,FALSE
Failure modes analysis,Analytical or scientific software,FALSE
Failure modes and effects analysis FMEA,Analytical or scientific software,FALSE
Failure rate data in perspective FARADIP,Analytical or scientific software,FALSE
Failure rate database,Data base user interface and query software,FALSE
Failure reporting analysis and corrective action FRACAS,Analytical or scientific software,FALSE
Fair Isaac Application Risk Model,Financial analysis software,FALSE
Fair Isaac Capstone Decision Manager,Financial analysis software,FALSE
Fair Isaac Claims Advisor,Data base user interface and query software,FALSE
Fair Isaac Enterprise Decision Management for Insurance,Enterprise resource planning ERP software,FALSE
Fair Isaac Falcon ID,Financial analysis software,FALSE
Fair Isaac SmartAdvisor,Expert system software,FALSE
Fan System Assessment Tool FSAT,Analytical or scientific software,FALSE
Fanatic Software Informant,Calendar and scheduling software,FALSE
Fannie Mae Desktop Underwriter,Financial analysis software,FALSE
Farm Business Software Systems Smart Feeder,Data base user interface and query software,FALSE
Farm Files Crops,Data base user interface and query software,FALSE
Farm Files Livestock,Data base user interface and query software,FALSE
Farm Management Software Hay and Crop Manager,Enterprise resource planning ERP software,FALSE
Farm Works Site Pro,Analytical or scientific software,FALSE
Farm Works Software Trac,Data base user interface and query software,FALSE
FarmLogic FarmPAD,Data base user interface and query software,FALSE
Fashion Toolbox,Computer aided design CAD software,FALSE
Fast Fourier transform FFT analysis,Analytical or scientific software,FALSE
FastCAM,Computer aided manufacturing CAM software,FALSE
FastEST FastPipe,Project management software,FALSE
FastEST,Project management software,FALSE
Fastcase legal,Information retrieval or search software,FALSE
Fatigue analysis,Analytical or scientific software,FALSE
Fault detection isolation and recovery FDIR,Analytical or scientific software,FALSE
Fault modeling,Analytical or scientific software,FALSE
Fault testing,Program testing software,FALSE
Fault tree analysis FTA,Analytical or scientific software,FALSE
Faux Labs Splashup,Graphics or photo imaging software,FALSE
FedBizOps,Information retrieval or search software,FALSE
FedEx Ship Manager,Materials requirements planning logistics and supply chain software,FALSE
FedStats,Data base user interface and query software,FALSE
Federal Emergency Management Information System FEMIS,Data base user interface and query software,FALSE
Federal Renewable Energy Screening Assistant FRESA,Analytical or scientific software,FALSE
Feng Office Collaboration Platform,Data base user interface and query software,FALSE
Ferret,Analytical or scientific software,FALSE
Fidelity HR/Payroll,Human resources software,FALSE
Fidessa Compliance Manager,Compliance software,FALSE
Field Operations and Records Management System (FORMS) II Lite,Analytical or scientific software,FALSE
Field data recorder,Analytical or scientific software,FALSE
Field programmable gate array FPGA design,Computer aided design CAD software,FALSE
Field programmable gate array FPGA logic synthesis,Analytical or scientific software,FALSE
